iter	Passed	Remaining
0	3	3330
1	6	3421
2	9	3050
3	11	2861
4	14	2789
5	16	2754
6	19	2757
7	22	2739
8	24	2715
9	27	2710
10	29	2685
11	32	2679
12	35	2660
13	37	2652
14	39	2626
15	42	2617
16	44	2597
17	47	2597
18	50	2584
19	52	2593
20	55	2587
21	58	2593
22	60	2583
23	63	2590
24	66	2596
25	69	2593
26	71	2594
27	74	2584
28	76	2567
29	79	2554
30	81	2555
31	84	2553
32	87	2559
33	89	2551
34	92	2539
35	95	2544
36	98	2555
37	100	2550
38	102	2533
39	105	2522
40	107	2521
41	110	2521
42	113	2530
43	116	2540
44	119	2537
45	122	2538
46	124	2532
47	127	2534
48	130	2538
49	133	2537
50	136	2538
51	138	2519
52	140	2515
53	144	2522
54	146	2524
55	150	2533
56	153	2531
57	157	2565
58	161	2577
59	164	2580
60	167	2574
61	169	2570
62	172	2565
63	175	2571
64	178	2574
65	181	2574
66	184	2574
67	187	2570
68	190	2568
69	193	2574
70	196	2575
71	199	2574
72	202	2568
73	205	2576
74	209	2579
75	211	2575
76	214	2574
77	217	2575
78	221	2580
79	224	2585
80	227	2584
81	230	2582
82	233	2582
83	236	2577
84	239	2579
85	242	2574
86	245	2576
87	248	2578
88	251	2579
89	255	2582
90	258	2578
91	261	2581
92	263	2574
93	267	2575
94	270	2579
95	273	2576
96	276	2578
97	280	2578
98	283	2580
99	286	2580
100	290	2581
101	293	2581
102	296	2578
103	299	2576
104	302	2578
105	305	2575
106	308	2573
107	311	2570
108	314	2568
109	317	2571
110	321	2572
111	324	2571
112	327	2569
113	330	2566
114	333	2567
115	337	2569
116	340	2566
117	343	2564
118	346	2563
119	349	2564
120	352	2563
121	355	2559
122	358	2558
123	362	2558
124	365	2559
125	368	2559
126	372	2557
127	375	2556
128	378	2554
129	381	2555
130	384	2552
131	388	2552
132	391	2549
133	394	2551
134	398	2554
135	404	2569
136	407	2568
137	411	2567
138	414	2566
139	417	2563
140	420	2562
141	423	2559
142	426	2557
143	429	2554
144	432	2552
145	435	2548
146	438	2544
147	441	2542
148	444	2539
149	447	2536
150	450	2532
151	453	2528
152	455	2524
153	459	2522
154	461	2518
155	464	2514
156	467	2508
157	469	2504
158	472	2500
159	475	2496
160	478	2492
161	481	2488
162	483	2483
163	486	2478
164	489	2474
165	491	2471
166	494	2468
167	498	2469
168	501	2467
169	504	2463
170	507	2460
171	510	2458
172	513	2455
173	516	2451
174	519	2449
175	523	2448
176	526	2447
177	529	2444
178	532	2442
179	535	2440
180	539	2438
181	541	2435
182	544	2431
183	547	2427
184	550	2424
185	553	2421
186	556	2417
187	558	2412
188	561	2408
189	563	2403
190	566	2400
191	570	2399
192	572	2395
193	575	2390
194	577	2385
195	580	2380
196	583	2377
197	586	2374
198	588	2370
199	591	2365
200	594	2361
201	596	2357
202	599	2354
203	602	2351
204	605	2347
205	607	2343
206	610	2338
207	613	2335
208	616	2333
209	619	2330
210	622	2326
211	624	2321
212	627	2317
213	629	2313
214	633	2311
215	636	2309
216	639	2307
217	642	2303
218	644	2299
219	647	2296
220	650	2292
221	653	2289
222	656	2286
223	662	2293
224	665	2293
225	668	2289
226	671	2285
227	674	2282
228	677	2281
229	680	2278
230	683	2275
231	686	2272
232	689	2269
233	692	2266
234	695	2264
235	698	2260
236	700	2256
237	703	2252
238	706	2249
239	709	2245
240	712	2243
241	715	2241
242	718	2238
243	721	2234
244	723	2230
245	726	2227
246	729	2224
247	732	2220
248	734	2216
249	737	2212
250	740	2209
251	743	2206
252	746	2203
253	749	2200
254	751	2196
255	754	2192
256	757	2189
257	760	2187
258	763	2183
259	765	2179
260	768	2175
261	771	2172
262	774	2170
